Borough_Name,Latitude,Longitude
Академический,55.6897377,37.5767712
Алексеевский,55.8148783,37.6506684
Алтуфьевский,55.880255,37.5816349
Арбат,55.74620815,37.58945652138118
Аэропорт,55.8004021,37.5331563
Бабушкинский,55.8659576,37.6638944
Басманный,55.779396,37.6878576
Беговой,55.7819165,37.5662996
Бескудниковский,55.8574669,37.5616979
Бибирево,55.8838943,37.6035774
Бирюлёво Восточное,55.5896897,37.6569745
Бирюлёво Западное,55.5879862,37.6363193
Богородское,55.8155683,37.7077624
Братеево,55.6359246,37.7619218
Бутырский,55.8137908,37.5929255
Вешняки,55.7274735,37.8248787
Внуково,55.6116965,37.3002554
Войковский,55.819399,37.4938496
Восточное Дегунино,55.8829192,37.5577688
Восточное Измайлово,55.7965807,37.8218434
Восточный,55.8188903,37.8675117
Выхино-Жулебино,55.7156444,37.8179229
Гагаринский,55.703459,37.5699407
Головинский,55.8475333,37.5067991
Гольяново,55.8184501,37.8072685
Даниловский,55.7072544,37.6435175
Дмитровский,55.8913196,37.5284649
Донской,55.7052265,37.6016374
Дорогомилово,55.7398697,37.5365271
Замоскворечье,55.737148,37.6192649
Западное Дегунино,55.8732647,37.5181287
Зюзино,55.6531418,37.5867464
Зябликово,55.6123108,37.745177
Ивановское,55.7748031,37.8342649
Измайлово,55.7897928,37.7431771
Капотня,55.6367482,37.7984857
Коньково,55.6331187,37.5189112
Коптево,55.8396193,37.5201074
Косино-Ухтомский,55.7137363,37.8884848
Котловка,55.6577387,37.5422546
Красносельский,55.76874,37.6418909
Крылатское,55.7565949,37.4081393
Крюково,55.9801606,37.1736179
Кузьминки,55.7056021,37.7657844
Кунцево,55.7426325,37.3974723
Куркино,55.8936207,37.3887002
Левобережный,55.8650743,37.4691831
Лефортово,55.7606126,37.6903381
Лианозово,55.9021433,37.5690541
Ломоносовский,55.6799618,37.5332552
Лосиноостровский,55.8826072,37.6945401
Люблино,55.6756224,37.7619254
Марфино,55.8309084,37.5914584
Марьина Роща,55.7955156,37.616309
Марьино,55.6500377,37.7433056
Матушкино,56.0095351,37.1973782
Метрогородок,55.8249036,37.756955
Мещанский,55.7746805,37.6319794
Митино,55.8457543,37.3622259
Можайский,55.7167137,37.4148645
Молжаниновский,55.9367237,37.3769255
Москворечье-Сабурово,55.6428651,37.6703469
Нагатино-Садовники,55.6746117,37.6454806
Нагатинский Затон,55.6823482,37.705917
Нагорный,55.6703681,37.6163609
Некрасовка,55.6841084,37.922905
Нижегородский,55.7299222,37.7164803
Ново-Переделкино,55.6461043,37.352684
Новогиреево,55.7487651,37.8061677
Новокосино,55.7450888,37.8637539
Обручевский,55.6641579,37.5203033
Орехово-Борисово Северное,55.619223,37.7011025
Орехово-Борисово Южное,55.603885,37.729895
Останкинский,55.824911400000005,37.61466958307348
Отрадное,55.8646371,37.6044745
Очаково-Матвеевское,55.690291,37.4406611
Перово,55.7511973,37.7864823
Печатники,55.6935214,37.7269124
Покровское-Стрешнево,55.8127392,37.4622685
Преображенское,55.7938235,37.7113174
Пресненский,55.7559915,37.598002
Проспект Вернадского,55.6771999,37.5060872
Раменки,55.6975607,37.4985423
Ростокино,55.8396775,37.6668741
Рязанский,55.7171259,37.793436
Савёлки,55.9887972,37.2218808
Савёловский,55.803184599999994,37.56204566447577
Свиблово,55.8551194,37.6527359
Северное Бутово,55.5714094,37.5776237
Северное Измайлово,55.8067811,37.8033479
Северное Медведково,55.889663,37.6529265
Северное Тушино,55.8632245,37.4279373
Северный,55.9278692,37.5466963
Силино,55.9807033,37.1824567
Сокол,55.8050063,37.5056244
Соколиная Гора,55.7713307,37.7450912
Сокольники,55.7888112,37.6802722
Солнцево,55.6496916,37.3912177
Старое Крюково,55.9798892,37.1976931
Строгино,55.8036918,37.4031404
Таганский,55.74113715,37.662804734215776
Тверской,55.76624995,37.607498739437816
Текстильщики,55.7088457,37.7315088
Тёплый Стан,55.6188149,37.5082645
Тимирязевский,55.8312264,37.5530796
Тропарёво-Никулино,55.6458937,37.4726181
Филёвский Парк,55.7394565,37.4834225
Фили-Давыдково,55.7333709,37.45843633024383
Хамовники,55.7440984,37.583061
Ховрино,55.8781328,37.4807583
Хорошёво-Мнёвники,55.7771463,37.5074052
Хорошёвский,55.7744834,37.5328504
Царицыно,55.6214833,37.6692504
Черёмушки,55.6635403,37.5610662
Чертаново Северное,55.6330775,37.6052365
Чертаново Центральное,55.6122352,37.5891752
Чертаново Южное,55.6006196,37.5898249
Щукино,55.8096914,37.4534955
Южное Бутово,55.535162,37.527696
Южное Медведково,55.8716961,37.6378787
Южное Тушино,55.8501172,37.4113336
Южнопортовый,55.7196035,37.6736187
Якиманка,55.7257911,37.6076001
Ярославский,55.8860665,37.7188216
Ясенево,55.6062621,37.5337476
Троицк,55.4728168,37.3017465
Щербинка,55.5069136,37.5673544
"""Мосрентген""",55.6217029,37.4727266
Внуковское,55.6483439,37.2691989
Вороновское,55.33607495,37.12449590259515
Воскресенское,55.5305972,37.4488053
Десёновское,55.5013688,37.36255545236347
Киевский,55.4302632,36.8684242
Клёновское,55.2946123,37.32399489042963
Кокошкино,55.5994442,37.1739822
Краснопахорское,55.41719285,37.27223249906711
Марушкинское,55.5947173,37.2189091
Михайлово-Ярцевское,55.3943301,37.0617999
Московский,55.6025502,37.348087
Новофёдоровское,55.4698503,36.9277333
Первомайское,55.5357528,37.1559675
Роговское,55.2290933,37.05519465465914
Рязановское,55.4392456,37.5265502
Сосенское,55.575209,37.4652734
Филимонковское,55.5769022,37.3536945
Щаповское,55.384577699999994,37.38527174994181
