0,1,2,3,4,5
"
№
","
Район
 
","
Цена, 
руб./кв. м
","
Прирост 
за год
","
Цена 
квартиры, 
руб.
","
Прирост 
за год
"
"
1
","
Арбат
","
438568
","
−0,20%
","
33702123
","
0,10%
"
"
2
","
Хамовники
","
425741
","
4,50%
","
27196303
","
5,20%
"
"
3
","
Якиманка
","
404471
","
1,30%
","
26920221
","
4,10%
"
"
4
","
Замоскворечье
","
398544
","
3,80%
","
26910141
","
5,70%
"
"
5
","
Тверской
","
386255
","
−1,70%
","
26346585
","
0,50%
"
"
6
","
Пресненский
","
353288
","
4,80%
","
24675342
","
2,40%
"
"
7
","
Красносельский
","
322543
","
−1,60%
","
22703441
","
0,20%
"
"
8
","
Мещанский
","
320746
","
0,40%
","
22089747
","
−0,50%
"
"
9
","
Раменки
","
311662
","
−2,00%
","
21006054
","
−5,00%
"
"
10
","
Басманный
","
302021
","
−0,80%
","
20601414
","
−4,10%
"
"
11
","
Таганский
","
284020
","
−0,70%
","
18888782
","
−3,10%
"
"
12
","
Гагаринский
","
274448
","
1,80%
","
18100233
","
2,60%
"
"
13
","
Дорогомилово
","
263011
","
−0,50%
","
17915145
","
−0,70%
"
"
14
","
Беговой
","
261402
","
0,40%
","
17645144
","
0,80%
"
"
15
","
Хорошевский
","
260203
","
7,60%
","
16668790
","
7,10%
"
"
16
","
Сокольники
","
235135
","
1,90%
","
16622873
","
3,40%
"
"
17
","
Аэропорт
","
234544
","
5,30%
","
16178741
","
3,20%
"
"
18
","
Щукино
","
233545
","
6,70%
","
15828781
","
6,50%
"
"
19
","
Проспект Вернадского
","
233500
","
−2,50%
","
15646140
","
−0,50%
"
"
20
","
Ломоносовский
","
229014
","
−0,50%
","
15364771
","
−2,90%
"
"
21
","
Донской
","
227484
","
−2,40%
","
15114103
","
−3,90%
"
"
22
","
Тропарево-Никулино
","
225256
","
5,50%
","
15098784
","
4,70%
"
