Borough_Name,Borough_Area,Borough_Population,Borough_Population_Density,Borough_Housing_Area,Borough_Housing_Area_Per_Person
Академический,5.83,109387,18762,2467.0,22.7
Алексеевский,5.29,80534,15223,1607.9,20.5
Алтуфьевский,3.25,57596,17721,839.3,15.5
Арбат,2.11,36125,17120,731.0,26.0
Аэропорт,4.58,79486,17355,1939.7,25.9
Бабушкинский,5.07,88537,17462,1586.3,18.5
Басманный,8.37,110694,13225,1991.8,18.4
Беговой,5.56,42781,7694,791.1,18.8
Бескудниковский,3.3,79603,24122,1391.7,18.4
Бибирево,6.45,160163,24831,2521.8,15.8
Бирюлёво Восточное,14.77,155863,10552,2122.2,14.7
Бирюлёво Западное,8.51,88672,10419,1183.2,13.2
Богородское,10.24,109324,10676,1744.1,16.9
Братеево,7.63,110021,14419,1585.4,15.5
Бутырский,5.04,71458,14178,1236.2,18.3
Вешняки,10.72,122285,11407,1976.8,16.2
Внуково,17.42,25471,1462,416.6,17.8
Войковский,6.61,70729,10700,1531.0,23.1
Восточное Дегунино,3.77,98923,26239,1592.5,16.7
Восточное Измайлово,3.85,78154,20299,706.6,9.5
Восточный,3.14,13689,4359,227.5,18.4
Выхино-Жулебино,14.97,225154,15040,3704.7,17.1
Гагаринский,5.5,81877,14886,2095.3,26.7
Головинский,8.93,103197,11556,1806.4,17.6
Гольяново,14.99,163009,10874,3024.1,19.1
Даниловский,12.6,94316,7485,2847.4,31.7
Дмитровский,7.29,93468,12821,1364.5,15.5
Донской,5.73,51894,9056,1094.0,23.0
Дорогомилово,7.95,76093,9571,1906.2,28.0
Замоскворечье,4.32,59105,13681,1072.3,19.2
Западное Дегунино,7.53,84163,11177,1385.1,17.5
Зюзино,5.45,126815,23268,2132.3,17.5
Зябликово,4.38,133278,30428,1879.2,14.5
Ивановское,10.19,128267,12587,2075.0,16.2
Измайлово,15.24,107381,7046,2055.9,19.7
Капотня,8.06,32399,4019,408.5,13.8
Коньково,7.18,156389,21781,3098.8,20.4
Коптево,5.38,102076,18973,2449.8,25.0
Косино-Ухтомский,15.05,82267,5466,1336.0,18.3
Котловка,3.94,65892,16723,1104.1,17.0
Красносельский,4.96,48697,9817,871.2,18.3
Крылатское,12.04,82817,6878,1850.5,22.4
Крюково,10.49,100098,9542,1799.0,21.0
Кузьминки,8.15,145984,17912,2312.7,16.1
Кунцево,16.56,152364,9200,2587.4,17.6
Куркино,7.9,34012,4305,900.0,42.2
Левобережный,8.0,54596,6824,933.0,17.7
Лефортово,9.06,95343,10523,1384.2,15.2
Лианозово,5.79,85901,14836,1563.7,18.1
Ломоносовский,3.34,88320,26443,2881.5,33.9
Лосиноостровский,5.54,82899,14963,1486.0,18.7
Люблино,17.41,172054,9882,2739.7,15.9
