Borough_Name,District_Name,Borough_Type,Borough_Area,Borough_Population,Borough_Population_Density,Borough_Housing_Area,Borough_Housing_Price
Бибирево,СВАО,Муниципальный округ,6.45,160163,24831,2521.8,140533.0
Бирюлёво Восточное,ЮАО,Муниципальный округ,14.77,155863,10552,2122.2,124645.0
Вешняки,ВАО,Муниципальный округ,10.72,122285,11407,1976.8,147352.0
Выхино-Жулебино,ЮВАО,Муниципальный округ,14.97,225154,15040,3704.7,140357.0
Гольяново,ВАО,Муниципальный округ,14.99,163009,10874,3024.1,144398.0
Зюзино,ЮЗАО,Муниципальный округ,5.45,126815,23268,2132.3,180447.0
Зябликово,ЮАО,Муниципальный округ,4.38,133278,30428,1879.2,140687.0
Ивановское,ВАО,Муниципальный округ,10.19,128267,12587,2075.0,141112.0
Коньково,ЮЗАО,Муниципальный округ,7.18,156389,21781,3098.8,190654.0
Кузьминки,ЮВАО,Муниципальный округ,8.15,145984,17912,2312.7,157459.0
Кунцево,ЗАО,Муниципальный округ,16.56,152364,9200,2587.4,210010.0
Люблино,ЮВАО,Муниципальный округ,17.41,172054,9882,2739.7,138523.0
Марьино,ЮВАО,Муниципальный округ,11.91,253943,21321,4523.0,140306.0
Митино,СЗАО,Муниципальный округ,12.67,194965,15387,3658.1,166324.0
Можайский,ЗАО,Муниципальный округ,10.73,138610,12917,2655.9,200874.0
Нагатинский Затон,ЮАО,Муниципальный округ,9.8,120954,12342,1848.8,174442.0
Ново-Переделкино,ЗАО,Муниципальный округ,8.48,121553,14334,1895.0,131641.0
Орехово-Борисово Северное,ЮАО,Муниципальный округ,7.67,132265,17244,1939.6,153030.0
Орехово-Борисово Южное,ЮАО,Муниципальный округ,6.94,147789,21295,2149.7,141300.0
Отрадное,СВАО,Муниципальный округ,10.18,185488,18220,3191.6,147300.0
Очаково-Матвеевское,ЗАО,Муниципальный округ,17.54,130742,7453,2255.1,193998.0
Перово,ВАО,Муниципальный округ,9.73,140968,14487,2248.0,154025.0
Северное Медведково,СВАО,Муниципальный округ,5.66,127819,22582,1764.0,160444.0
Северное Тушино,СЗАО,Муниципальный округ,9.4,165762,17634,2665.5,165888.0
Солнцево,ЗАО,Муниципальный округ,11.29,126456,11200,2058.4,133645.0
Строгино,СЗАО,Муниципальный округ,16.84,160791,9548,2406.2,200878.0
Тёплый Стан,ЮЗАО,Муниципальный округ,7.5,134321,17909,2406.4,167524.0
Тропарёво-Никулино,ЗАО,Муниципальный округ,11.27,124167,11017,2895.2,225256.0
Хорошёво-Мнёвники,СЗАО,Муниципальный округ,17.18,173615,10105,2918.0,210645.0
Царицыно,ЮАО,Муниципальный округ,8.43,129138,15318,1836.9,125874.0
Чертаново Центральное,ЮАО,Муниципальный округ,6.52,117092,17958,2907.0,160577.0
Чертаново Южное,ЮАО,Муниципальный округ,9.38,151726,16175,2192.8,134332.0
Южное Бутово,ЮЗАО,Муниципальный округ,25.54,210676,8248,4195.0,153873.0
Ясенево,ЮЗАО,Муниципальный округ,25.37,177901,7012,2969.3,166852.0
