№,Флаг,Герб,Название района[2]/поселения[3][4],Название cоответствующего внутригородского муниципального образования: муниципального округа / поселения / городского округа[5],Адми-нистра-тивныйокруг,"Пло-щадь,[6][7]км²","Насе-ление2019[8],чел.","Плот-ностьнасе-ления2019,чел. / км²","Пло-щадьжилого фонда(01.01.2010)[9],тыс. м²","Жил-площадьначело-века(01.01.2010),м²/чел."
1.0, , ,Академический , Академический , ЮЗАО ," 5,83 ", ↗109 387 ,18762.78," 2467,0 "," 22,7
"
2.0,  , ,Алексеевский , Алексеевский , СВАО ," 5,29 ", ↗80 534 ,15223.82," 1607,9 "," 20,5
"
3.0,  , ,Алтуфьевский , Алтуфьевский , СВАО ," 3,25 ", ↗57 596 ,17721.85," 839,3 "," 15,5
"
4.0,  , ,Арбат , Арбат , ЦАО ," 2,11 ", ↗36 125 ,17120.85," 731,0 "," 26,0
"
5.0,  , ,Аэропорт , Аэропорт , САО ," 4,58 ", ↗79 486 ,17355.02," 1939,7 "," 25,9
"
6.0,  , ,Бабушкинский , Бабушкинский , СВАО ," 5,07 ", ↗88 537 ,17462.92," 1586,3 "," 18,5
"
7.0,  , ,Басманный , Басманный , ЦАО ," 8,37 ", ↗110 694 ,13225.09," 1991,8 "," 18,4
"
8.0,  , ,Беговой , Беговой , САО ," 5,56 ", ↗42 781 ,7694.42," 791,1 "," 18,8
"
9.0,  , ,Бескудниковский , Бескудниковский , САО ," 3,30 ", ↗79 603 ,24122.12," 1391,7 "," 18,4
"
10.0,  , ,Бибирево , Бибирево , СВАО ," 6,45 ", ↗160 163 ,24831.47," 2521,8 "," 15,8
"
11.0,  , ,Бирюлёво Восточное , Бирюлёво Восточное , ЮАО ," 14,77 ", ↗155 863 ,10552.67," 2122,2 "," 14,7
"
12.0, , , Бирюлёво Западное , Бирюлёво Западное , ЮАО ," 8,51 ", ↗88 672 ,10419.74," 1183,2 "," 13,2
"
13.0, , , Богородское , Богородское , ВАО ," 10,24 ", ↗109 324 ,10676.17," 1744,1 "," 16,9
"
14.0, , , Братеево , Братеево , ЮАО ," 7,63 ", ↗110 021 ,14419.53," 1585,4 "," 15,5
"
15.0, , , Бутырский , Бутырский , СВАО ," 5,04 ", ↗71 458 ,14178.17," 1236,2 "," 18,3
"
16.0,  , ,Вешняки , Вешняки , ВАО ," 10,72 ", ↗122 285 ,11407.18," 1976,8 "," 16,2
"
17.0, , , Внуково , Внуково , ЗАО ," 17,42 ", ↗25 471 ,1462.17," 416,6 "," 17,8
"
18.0, , , Войковский , Войковский , САО ," 6,61 ", ↗70 729 ,10700.3," 1531,0 "," 23,1
"
19.0,  , ,Восточное Дегунино , Восточное Дегунино , САО ," 3,77 ", ↗98 923 ,26239.52," 1592,5 "," 16,7
"
20.0, , , Восточное Измайлово , Восточное Измайлово , ВАО ," 3,85 ", ↗78 154 ,20299.74," 706,6 "," 9,5
"
21.0,  , ,Восточный , Восточный , ВАО ," 3,14 ", ↗13 689 ,4359.55," 227,5 "," 18,4
"
22.0, , , Выхино-Жулебино , Выхино-Жулебино , ЮВАО ," 14,97 ", ↗225 154 ,15040.35," 3704,7 "," 17,1
"
23.0, , , Гагаринский , Гагаринский , ЮЗАО ," 5,50 ", ↗81 877 ,14886.73," 2095,3 "," 26,7
"
24.0,  , ,Головинский , Головинский , САО ," 8,93 ", ↗103 197 ,11556.22," 1806,4 "," 17,6
"
25.0,  , ,Гольяново , Гольяново , ВАО ," 14,99 ", ↗163 009 ,10874.52," 3024,1 "," 19,1
"
26.0, , , Даниловский , Даниловский , ЮАО ," 12,60 ", ↗94 316 ,7485.4," 2847,4 "," 31,7
"
27.0, , , Дмитровский , Дмитровский , САО ," 7,29 ", ↗93 468 ,12821.4," 1364,5 "," 15,5
"
28.0,  , ,Донской , Донской , ЮАО ," 5,73 ", ↗51 894 ,9056.54," 1094,0 "," 23,0
"
29.0, , , Дорогомилово , Дорогомилово , ЗАО ," 7,95 ", ↗76 093 ,9571.45," 1906,2 "," 28,0
"
30.0,  , ,Замоскворечье , Замоскворечье , ЦАО ," 4,32 ", ↗59 105 ,13681.71," 1072,3 "," 19,2
"
31.0, , , Западное Дегунино , Западное Дегунино , САО ," 7,53 ", ↗84 163 ,11177.03," 1385,1 "," 17,5
"
32.0,  , ,Зюзино , Зюзино , ЮЗАО ," 5,45 ", ↗126 815 ,23268.81," 2132,3 "," 17,5
"
33.0,  , ,Зябликово , Зябликово , ЮАО ," 4,38 ", ↗133 278 ,30428.77," 1879,2 "," 14,5
"
34.0, , , Ивановское , Ивановское , ВАО ," 10,19 ", ↗128 267 ,12587.54," 2075,0 "," 16,2
"
35.0, , , Измайлово , Измайлово , ВАО ," 15,24 ", ↗107 381 ,7046.0," 2055,9 "," 19,7
"
36.0, , , Капотня , Капотня , ЮВАО ," 8,06 ", ↗32 399 ,4019.73," 408,5 "," 13,8
"
37.0,  , ,Коньково , Коньково , ЮЗАО ," 7,18 ", ↗156 389 ,21781.2," 3098,8 "," 20,4
"
38.0, , , Коптево , Коптево , САО ," 5,38 ", ↗102 076 ,18973.23," 2449,8 "," 25,0
"
39.0, , , Косино-Ухтомский , Косино-Ухтомский , ВАО ," 15,05 ", ↗82 267 ,5466.25," 1336,0 "," 18,3
"
40.0, , , Котловка , Котловка , ЮЗАО ," 3,94 ", ↗65 892 ,16723.86," 1104,1 "," 17,0
"
41.0,  , ,Красносельский , Красносельский , ЦАО ," 4,96 ", ↗48 697 ,9817.94," 871,2 "," 18,3
"
42.0, , , Крылатское , Крылатское , ЗАО ," 12,04 ", ↗82 817 ,6878.49," 1850,5 "," 22,4
"
43.0, , , Крюково , Крюково , ЗелАО ," 10,49 ", ↗100 098 ,9542.23," 1799,0 "," 21,0
"
44.0, , , Кузьминки , Кузьминки , ЮВАО ," 8,15 ", ↗145 984 ,17912.15," 2312,7 "," 16,1
"
45.0, , , Кунцево , Кунцево , ЗАО ," 16,56 ", ↗152 364 ,9200.72," 2587,4 "," 17,6
"
46.0,  , ,Куркино , Куркино , СЗАО ," 7,90 ", ↗34 012 ,4305.32," 900,0 "," 42,2
"
47.0,  , ,Левобережный , Левобережный , САО ," 8,00 ", ↗54 596 ,6824.5," 933,0 "," 17,7
"
48.0, , , Лефортово , Лефортово , ЮВАО ," 9,06 ", ↗95 343 ,10523.51," 1384,2 "," 15,2
"
49.0,  , ,Лианозово , Лианозово , СВАО ," 5,79 ", ↗85 901 ,14836.1," 1563,7 "," 18,1
"
50.0,  , ,Ломоносовский , Ломоносовский , ЮЗАО ," 3,34 ", ↗88 320 ,26443.11," 2881,5 "," 33,9
"
51.0, , , Лосиноостровский , Лосиноостровский , СВАО ," 5,54 ", ↗82 899 ,14963.72," 1486,0 "," 18,7
"
52.0, , , Люблино , Люблино , ЮВАО ," 17,41 ", ↗172 054 ,9882.48," 2739,7 "," 15,9
"
53.0,  , ,Марфино , Марфино , СВАО ," 2,97 ", ↗35 387 ,11914.81," 711,1 "," 26,2
"
54.0, , , Марьина Роща , Марьина Роща , СВАО ," 4,68 ", ↗67 394 ,14400.43," 1118,9 "," 16,9
"
55.0,  , ,Марьино , Марьино , ЮВАО ," 11,91 ", ↗253 943 ,21321.83," 4523,0 "," 18,6							
"
56.0,  , ,Матушкино , Матушкино , ЗелАО ," 4,38 ", ↗40 694 ,9290.87," 781,0 "," 20,3
"
57.0,  , ,Метрогородок , Метрогородок , ВАО ," 27,57 ", ↗39 024 ,1415.45," 575,7 "," 15,9
"
58.0, , , Мещанский , Мещанский , ЦАО ," 4,60 ", ↗61 213 ,13307.17," 1417,4 "," 24,4
"
59.0, , , Митино , Митино , СЗАО ," 12,67 ", ↗194 965 ,15387.92," 3658,1 "," 21,0
"
60.0,  , ,Можайский , Можайский , ЗАО ," 10,73 ", ↗138 610 ,12917.99," 2655,9 "," 20,0
"
61.0, , , Молжаниновский , Молжаниновский , САО ," 21,78 ", ↗12 194 ,559.87," 69,9 "," 19,9
"
62.0, , , Москворечье-Сабурово , Москворечье-Сабурово , ЮАО ," 9,30 ", ↗80 673 ,8674.52," 1314,7 "," 17,9
"
63.0,  , ,Нагатино-Садовники , Нагатино-Садовники , ЮАО ," 8,17 ", ↗83 496 ,10219.83," 960,4 "," 12,8
"
64.0,  , ,Нагатинский Затон , Нагатинский Затон , ЮАО ," 9,80 ", ↗120 954 ,12342.24," 1848,8 "," 16,2
"
65.0,  , ,Нагорный , Нагорный , ЮАО ," 5,42 ", ↗81 731 ,15079.52," 1551,4 "," 20,3
"
66.0, , , Некрасовка , Некрасовка , ЮВАО ," 5,58 ", ↗71 943 ,12893.01," 385,5 "," 20,1
"
67.0,  , ,Нижегородский , Нижегородский , ЮВАО ," 7,57 ", ↗45 294 ,5983.36," 722,3 "," 16,8
"
68.0, , , Новогиреево , Новогиреево , ВАО ," 4,45 ", ↗98 415 ,22115.73," 1704,0 "," 17,9
"
69.0, , , Новокосино , Новокосино , ВАО ," 3,60 ", ↗107 907 ,29974.17," 1682,4 "," 16,2
"
70.0,  , ,Ново-Переделкино , Ново-Переделкино , ЗАО ," 8,48 ", ↘121 553 ,14334.08," 1895,0 "," 16,4
"
71.0,  , ,Обручевский , Обручевский , ЮЗАО ," 6,11 ", ↗86 793 ,14205.07," 1742,0 "," 21,7
"
72.0, , , Орехово-Борисово Северное , Орехово-Борисово Северное , ЮАО ," 7,67 ", ↗132 265 ,17244.46," 1939,6 "," 15,1
"
73.0,  , ,Орехово-Борисово Южное , Орехово-Борисово Южное , ЮАО ," 6,94 ", ↗147 789 ,21295.24," 2149,7 "," 14,8
"
74.0, , , Останкинский , Останкинский , СВАО ," 12,46 ", ↗63 514 ,5097.43," 1131,4 "," 18,6
"
75.0, , , Отрадное , Отрадное , СВАО ," 10,18 ", ↗185 488 ,18220.83," 3191,6 "," 17,8
"
76.0, , , Очаково-Матвеевское , Очаково-Матвеевское , ЗАО ," 17,54 ", ↗130 742 ,7453.93," 2255,1 "," 19,7
"
77.0, , , Перово , Перово , ВАО ," 9,73 ", ↗140 968 ,14487.98," 2248,0 "," 16,5
"
78.0,  , ,Печатники , Печатники , ЮВАО ," 17,89 ", ↗86 587 ,4839.97," 1369,3 "," 16,5
"
79.0, , , Покровское-Стрешнево , Покровское-Стрешнево , СЗАО ," 12,90 ", ↗59 402 ,4604.81," 1006,7 "," 18,1
"
80.0, , , Преображенское , Преображенское , ВАО ," 5,61 ", ↗91 503 ,16310.7," 1453,2 "," 17,7
"
81.0,  , ,Пресненский , Пресненский , ЦАО ," 11,70 ", ↗128 062 ,10945.47," 1416,4 "," 11,5
"
