Borough_Name,Venue_Name,Venue_Category_Name,Venue_Location,Venue_Latitude,Venue_Longitude
Южное Бутово,Фитнес Гуру,Gym / Fitness Center,Ул. Адмирала Руднева д.4,55.543828290275485,37.52668662554533
Южное Бутово,Yoga Practika,Yoga Studio,"Южнобутовская ул., д.36",55.54155636000794,37.5361958238015
Южное Бутово,Тонус Клуб,Gym,"Южнобутовская, 36",55.541652319616496,37.536339938899054
Южное Бутово,ЖелезКа,Gym,Ноао,55.53358818506744,37.581014734778826
Южное Бутово,Зебра,Gym / Fitness Center,"ТЦ «Витте Молл» (Венёвская ул., 6), 117042",55.54804126101387,37.54363765539306
Южное Бутово,Ангел,Gym,Скобелевская улица дом 2,55.55088580731636,37.55458482854212
Южное Бутово,Фитнес Гуру,Gym,Изюмская 22-3,55.55190278224392,37.55747065327271
Южное Бутово,Спорт К,Gym,Россия,55.55161491305736,37.55703241403508
Южное Бутово,Фитнес-клуб Зебра ЭТАЛОН,Gym / Fitness Center,"Ул. Поляны 5, 117042",55.55777,37.555107
Ясенево,Фитнес-центр «Мореон»,Gym / Fitness Center,"Аквапарк МОРЕОН (Голубинская ул., 16), 117574",55.597151633539845,37.52790469437889
Ново-Переделкино,Family Club,Gym / Fitness Center,"ул. Шолохова, 5 (ул. Новоорловская)",55.63635870332252,37.35565066337585
Ясенево,Физкультурно-оздоровительный комплекс Ясенево,Gym,"Вильнюсская ул., 6, к. 2, 117574",55.60476795210455,37.51977300335089
Ясенево,Центр йоги и здоровья в Ясенево,Yoga Studio,ул. Тарусская 18,55.60319257905524,37.528975323372975
Ясенево,"ГУП ""Час Спорта""",Gym,"ул. Паустовского, 4А, 117463",55.60178212527328,37.53621158326651
Ясенево,Спортивная площадка,Gym,усадьба Ясенево,55.59770600539632,37.549704804396974
Чертаново Южное,Центр Физической Культуры И Спорта,Gym,"Дорожная ул., 44",55.58786452086832,37.61287723093038
Чертаново Южное,ФОК ул. Дорожная,Gym,Россия,55.58781033498804,37.61295602000617
Ново-Переделкино,Олимпик Фитнес,Gym / Fitness Center,Боровское шоссе 43,55.63996079319308,37.35631167764267
Бирюлёво Восточное,Alex Fitness,Gym / Fitness Center,"Михневская,4",55.57872872493286,37.66538004993381
Ясенево,Спортлэнд,Gym / Fitness Center,"Новоясеневский проспект, д. 3А, стр.1",55.61474649402648,37.51404545424925
Ясенево,Encore Fitness,Gym / Fitness Center,"Новоясеневский проезд, 9, 117588",55.60907878677347,37.535668751366956
Ясенево,"Тренажерный зал ""Обыкновенное Чудо""",Gym,Россия,55.610262647043285,37.536388389529364
Чертаново Южное,HARDCORE GYM,Gym,"Чертановская ул., 45-а, корп. 1",55.602343188039036,37.5825396788342
Бирюлёво Восточное,"Школа дзюдо ""Юность Москвы""",Martial Arts Dojo,"Михневская ул., 5К1, 115547",55.58551271000664,37.66121509626587
Бирюлёво Восточное,СДЮСШОР №47 ФОК «Южный»,Gym / Fitness Center,"Лебедянская ул., 18, 115372",55.58563386557528,37.674050331115716
Ново-Переделкино,Magneto Sport&SPA,Gym / Fitness Center,"6-я ул. Новые Сады, 2, стр. 1",55.65219377560487,37.34808302165137
Ясенево,"МУ ЦСиД ""Атлант""",Martial Arts Dojo,"Литовский б-р, д.11, к.2 (ул.Айвазовского)",55.61332264804292,37.54219710453125
Чертаново Центральное,"ФОК ""Красный Маяк"" МГФСО",Gym,"Ул. Красного Маяка, д.28, к.1",55.606378694710905,37.58108983608283
Чертаново Южное,Fitsolution,Gym,"Кировоградская ул., 23а",55.60080020426318,37.59879880657881
Чертаново Южное,Paris Life,Gym / Fitness Center,"ул. Кировоградская, д. 23а",55.6006392468544,37.59864749627295
Чертаново Южное,Учебно-спортивный центр,Gym / Fitness Center,"Кировоградская ул., 21, корп. 1, 117519",55.602173072472866,37.60346144644998
Чертаново Южное,Inferno Fitness,Gym,"Россошанский проезд,5",55.600865969514295,37.60919385248664
Чертаново Южное,"Клуб единоборств ""Файтер""",Martial Arts Dojo,"Кировоградская ул., 21, корп. 1",55.601994117052186,37.60325514489266
Бирюлёво Восточное,"Спортзал ""Гвардеец""",Gym / Fitness Center,"ул. Ряжская, 13 стр. 1",55.59027877372675,37.67023420777528
Солнцево,СССР,Gym / Fitness Center,"Производственная ул., 2 (Попутная ул.), 119619",55.6505301328312,37.38812377473104
Тёплый Стан,Самбо-70,Martial Arts Dojo,"ул. Академика Виноградова, 4Б, 117133",55.63245463055864,37.47752158649715
Тёплый Стан,Come On Gym,Gym / Fitness Center,"ул. Академика Варги, 8, корп. 1",55.63034682877882,37.473862362527385
Чертаново Центральное,Фитнес Парк,Gym,Улица Красного Маяка 22 к 5,55.611307411045644,37.57642271778987
Чертаново Центральное,Империя Фитнеса,Gym,"ул. Чертановская, 45а к1",55.607609824390366,37.592599155272545
Чертаново Центральное,Сеть батутных центров Атмосфера,Gym / Fitness Center,117519,55.608895,37.607408
Чертаново Центральное,Raketa Fitness,Gym / Fitness Center,"ТРЦ «Columbus» (ул. Красного Маяка, 2Б), 117519",55.61072269298985,37.60806877915977
Чертаново Южное,Территория фитнеса,Gym / Fitness Center,"ул. Подольских Курсантов, 10",55.60830586836813,37.61610656303756
Коньково,Sparta,Gym,"ул. Островитянова, 34, корп. 1, стр. 1",55.631486054578104,37.52354505614401
Коньково,Brutal Gym,Gym,"Островитянова, 32, стр. 1",55.63176075931585,37.5240710824324
Чертаново Центральное,Теннисный Корт На Территории Школы № 25,Gym,"Университетский, 7",55.61764851982481,37.58499288798411
Чертаново Центральное,Спортзал,Gym,"Школа № 556 (Днепропетровская ул., 33а)",55.61769040028743,37.58567287559175
Чертаново Центральное,Force Factory,Gym / Fitness Center,"Варшавское ш., 129, корп. 2",55.612641834309606,37.61209872414185
Чертаново Центральное,Спортзал МТС,Gym / Fitness Center,"1-й Дорожный пр-д, 3а",55.61530681899164,37.61712469120839
Коньково,Союз Спорт,Gym / Fitness Center,"ул., Академика Волгина, 33А, город Москва",55.64254378175244,37.506134515777866
Коньково,Самбо-70,Martial Arts Dojo,"ул. Академика Арцимовича, 13, город Москва, 117437, город Москва",55.64058370967353,37.51054402197481
Коньково,Energym Fitness Studio,Gym,Профсоюзная 103,55.635357007230176,37.52653628813746
