Borough_Name,District_Name,Borough_Type,OKATO_Borough_Code,OKTMO_District_Code,Borough_Area,Borough_Population,Borough_Population_Density,Borough_Housing_Area,Borough_Housing_Area_Per_Person,Latitude,Longitude,Borough_Housing_Price
Академический,ЮЗАО,Муниципальный округ,45293554,45397000,5.83,109387,18762,2467.0,22.7,55.689737699999995,37.5767712,199999
Алексеевский,СВАО,Муниципальный округ,45280552,45349000,5.29,80534,15223,1607.9,20.5,55.8148783,37.6506684,199474
Алтуфьевский,СВАО,Муниципальный округ,45280554,45350000,3.25,57596,17721,839.3,15.5,55.880255000000005,37.5816349,138021
Арбат,ЦАО,Муниципальный округ,45286552,45374000,2.11,36125,17120,731.0,26.0,55.751199,37.5898715,438568
Аэропорт,САО,Муниципальный округ,45277553,45333000,4.58,79486,17355,1939.7,25.9,55.8005039,37.5438641,234544
Бабушкинский,СВАО,Муниципальный округ,45280556,45351000,5.07,88537,17462,1586.3,18.5,55.8659576,37.6638944,164324
Басманный,ЦАО,Муниципальный округ,45286555,45375000,8.37,110694,13225,1991.8,18.4,55.7672809,37.6697732,302021
Беговой,САО,Муниципальный округ,45277556,45334000,5.56,42781,7694,791.1,18.8,55.7819165,37.56629960000001,261402
Бескудниковский,САО,Муниципальный округ,45277559,45335000,3.3,79603,24122,1391.7,18.4,55.863738600000005,37.5573217,158398
Бибирево,СВАО,Муниципальный округ,45280558,45352000,6.45,160163,24831,2521.8,15.8,55.895318700000004,37.6129889,140533
Бирюлёво Восточное,ЮАО,Муниципальный округ,45296553,45911000,14.77,155863,10552,2122.2,14.7,55.5961213,37.6752547,124645
Бирюлёво Западное,ЮАО,Муниципальный округ,45296555,45912000,8.51,88672,10419,1183.2,13.2,55.58798620000001,37.6363193,109421
Богородское,ВАО,Муниципальный округ,45263552,45301000,10.24,109324,10676,1744.1,16.9,56.493906200000005,38.182557200000005,178577
Братеево,ЮАО,Муниципальный округ,45296557,45913000,7.63,110021,14419,1585.4,15.5,55.6359246,37.761921799999996,136300
Бутырский,СВАО,Муниципальный округ,45280561,45353000,5.04,71458,14178,1236.2,18.3,55.81379079999999,37.5929255,182641
Вешняки,ВАО,Муниципальный округ,45263555,45302000,10.72,122285,11407,1976.8,16.2,55.7274735,37.8248787,147352
Внуково,ЗАО,Муниципальный округ,45268552,45317000,17.42,25471,1462,416.6,17.8,56.3651669,37.58425,113399
Войковский,САО,Муниципальный округ,45277565,45336000,6.61,70729,10700,1531.0,23.1,55.819399,37.493849600000004,207242
Восточное Дегунино,САО,Муниципальный округ,45277568,45337000,3.77,98923,26239,1592.5,16.7,55.8829192,37.5577688,146300
