Borough_index,Borough_Name,District_Name,Borough_Type,OKATO_Borough_Code,OKTMO_District_Code
1.0,"Академический
","ЮЗАО
","Муниципальный округ
",45293554.0,45397000.0
2.0,"Алексеевский
","СВАО
","Муниципальный округ
",45280552.0,45349000.0
3.0,"Алтуфьевский
","СВАО
","Муниципальный округ
",45280554.0,45350000.0
4.0,"Арбат
","ЦАО
","Муниципальный округ
",45286552.0,45374000.0
5.0,"Аэропорт
","САО
","Муниципальный округ
",45277553.0,45333000.0
6.0,"Бабушкинский
","СВАО
","Муниципальный округ
",45280556.0,45351000.0
7.0,"Басманный
","ЦАО
","Муниципальный округ
",45286555.0,45375000.0
8.0,"Беговой
","САО
","Муниципальный округ
",45277556.0,45334000.0
9.0,"Бескудниковский
","САО
","Муниципальный округ
",45277559.0,45335000.0
10.0,"Бибирево
","СВАО
","Муниципальный округ
",45280558.0,45352000.0
11.0,"Бирюлёво Восточное
","ЮАО
","Муниципальный округ
",45296553.0,45911000.0
12.0,"Бирюлёво Западное
","ЮАО
","Муниципальный округ
",45296555.0,45912000.0
13.0,"Богородское
","ВАО
","Муниципальный округ
",45263552.0,45301000.0
14.0,"Братеево
","ЮАО
","Муниципальный округ
",45296557.0,45913000.0
15.0,"Бутырский
","СВАО
","Муниципальный округ
",45280561.0,45353000.0
16.0,"Вешняки
","ВАО
","Муниципальный округ
",45263555.0,45302000.0
17.0,"Внуково
","ЗАО
","Муниципальный округ
",45268552.0,45317000.0
18.0,"Войковский
","САО
","Муниципальный округ
",45277565.0,45336000.0
19.0,"Восточное Дегунино
","САО
","Муниципальный округ
",45277568.0,45337000.0
20.0,"Восточное Измайлово
","ВАО
","Муниципальный округ
",45263558.0,45303000.0
21.0,"Восточный
","ВАО
","Муниципальный округ
",45263561.0,45304000.0
22.0,"Выхино-Жулебино
","ЮВАО
","Муниципальный округ
",45290554.0,45385000.0
23.0,"Гагаринский
","ЮЗАО
","Муниципальный округ
",45293558.0,45398000.0
24.0,"Головинский
","САО
","Муниципальный округ
",45277571.0,45338000.0
25.0,"Гольяново
","ВАО
","Муниципальный округ
",45263564.0,45305000.0
26.0,"Даниловский
","ЮАО
","Муниципальный округ
",45296559.0,45914000.0
27.0,"Дмитровский
","САО
","Муниципальный округ
",45277574.0,45339000.0
28.0,"Донской
","ЮАО
","Муниципальный округ
",45296561.0,45915000.0
29.0,"Дорогомилово
","ЗАО
","Муниципальный округ
",45268554.0,45318000.0
30.0,"Замоскворечье
","ЦАО
","Муниципальный округ
",45286560.0,45376000.0
31.0,"Западное Дегунино
","САО
","Муниципальный округ
",45277577.0,45340000.0
32.0,"Зюзино
","ЮЗАО
","Муниципальный округ
",45293562.0,45901000.0
33.0,"Зябликово
","ЮАО
","Муниципальный округ
",45296565.0,45916000.0
34.0,"Ивановское
","ВАО
","Муниципальный округ
",45263567.0,45306000.0
35.0,"Измайлово
","ВАО
","Муниципальный округ
",45263570.0,45307000.0
36.0,"Капотня
","ЮВАО
","Муниципальный округ
",45290558.0,45386000.0
37.0,"Коньково
","ЮЗАО
","Муниципальный округ
",45293566.0,45902000.0
38.0,"Коптево
","САО
","Муниципальный округ
",45277580.0,45341000.0
39.0,"Косино-Ухтомский
","ВАО
","Муниципальный округ
",45263573.0,45308000.0
40.0,"Котловка
","ЮЗАО
","Муниципальный округ
",45293570.0,45903000.0
41.0,"Красносельский
","ЦАО
","Муниципальный округ
",45286565.0,45378000.0
42.0,"Крылатское
","ЗАО
","Муниципальный округ
",45268560.0,45319000.0
43.0,"Крюково
","ЗелАО
","Муниципальный округ
",45272580.0,45330000.0
44.0,"Кузьминки
","ЮВАО
","Муниципальный округ
",45290562.0,45387000.0
45.0,"Кунцево
","ЗАО
","Муниципальный округ
",45268562.0,45320000.0
46.0,"Куркино
","СЗАО
","Муниципальный округ
",45283555.0,45366000.0
47.0,"Левобережный
","САО
","Муниципальный округ
",45277583.0,45342000.0
48.0,"Лефортово
","ЮВАО
","Муниципальный округ
",45290564.0,45388000.0
49.0,"Лианозово
","СВАО
","Муниципальный округ
",45280563.0,45354000.0
50.0,"Ломоносовский
","ЮЗАО
","Муниципальный округ
",45293574.0,45904000.0
51.0,"Лосиноостровский
","СВАО
","Муниципальный округ
",45280565.0,45355000.0
52.0,"Люблино
","ЮВАО
","Муниципальный округ
",45290568.0,45389000.0
53.0,"Марфино
","СВАО
","Муниципальный округ
",45280567.0,45356000.0
54.0,"Марьина Роща
","СВАО
","Муниципальный округ
",45280569.0,45357000.0
55.0,"Марьино
","ЮВАО
","Муниципальный округ
",45290572.0,45390000.0
56.0,"Матушкино
","ЗелАО
","Муниципальный округ
",45272562.0,45331000.0
57.0,"Метрогородок
","ВАО
","Муниципальный округ
",45263581.0,45311000.0
58.0,"Мещанский
","ЦАО
","Муниципальный округ
",45286570.0,45379000.0
59.0,"Митино
","СЗАО
","Муниципальный округ
",45283559.0,45367000.0
60.0,"Можайский
","ЗАО
","Муниципальный округ
",45268569.0,45321000.0
61.0,"Молжаниновский
","САО
","Муниципальный округ
",45277584.0,45343000.0
62.0,"Москворечье-Сабурово
","ЮАО
","Муниципальный округ
",45296569.0,45917000.0
