Borough_Name,Borough_Housing_Price
Арбат,438568
Хамовники,425741
Якиманка,404471
Замоскворечье,398544
Тверской,386255
Пресненский,353288
Красносельский,322543
Мещанский,320746
Раменки,311662
Басманный,302021
Таганский,284020
Гагаринский,274448
Дорогомилово,263011
Беговой,261402
Хорошёвский,260203
Сокольники,235135
Аэропорт,234544
Щукино,233545
Проспект Вернадского,233500
Ломоносовский,229014
Донской,227484
Тропарёво-Никулино,225256
Филёвский Парк,224957
Фили-Давыдково,222529
Даниловский,221845
Сокол,218854
Крылатское,214855
Останкинский,214077
Черёмушки,213025
Марьина Роща,211977
Хорошёво-Мнёвники,210645
Кунцево,210010
Свиблово,207658
Войковский,207242
Строгино,200878
Можайский,200874
Обручевский,200635
Савёловский,200555
Академический,199999
Алексеевский,199474
Покровское-Стрешнево,194344
Очаково-Матвеевское,193998
Тимирязевский,192644
Измайлово,192313
Коньково,190654
Южнопортовый,190357
Соколиная Гора,190020
Лефортово,188256
Головинский,186978
Бутырский,182641
Нагатино-Садовники,180555
Чертаново Северное,180547
Зюзино,180447
Богородское,178577
Ростокино,175646
Нагатинский Затон,174442
Левобережный,171944
Нагорный,171887
Котловка,171287
Восточное Измайлово,168323
Куркино,168022
Марфино,167887
Нижегородский,167642
Тёплый Стан,167524
Ясенево,166852
Митино,166324
Северное Тушино,165888
Москворечье-Сабурово,164441
Бабушкинский,164324
Южное Тушино,162854
Чертаново Центральное,160577
Северное Медведково,160444
Ховрино,159745
Ярославский,159241
Бескудниковский,158398
Западное Дегунино,158225
Коптево,157633
Кузьминки,157459
Бутово Северное,156238
Южное Медведково,155965
Рязанский,155645
Северное Измайлово,154447
Перово,154025
Бутово Южное,153873
Орехово-Борисово Северное,153030
Новогиреево,151974
Текстильщики,151307
Преображенское,150951
Лосиноостровский,147845
Вешняки,147352
Отрадное,147300
Дмитровский,147021
Восточное Дегунино,146300
Гольяново,144398
Печатники,144301
Орехово-Борисово Южное,141300
Ивановское,141112
Зябликово,140687
Бибирево,140533
Выхино-Жулебино,140357
Марьино,140306
Новокосино,138743
Люблино,138523
Алтуфьевский,138021
Братеево,136300
Чертаново Южное,134332
Лианозово,133827
Солнцево,133645
Метрогородок,132441
Косино-Ухтомский,132011
Ново-Переделкино,131641
Царицыно,125874
Внуковское,125502
Бирюлёво Восточное,124645
Северный,120878
Капотня,120200
Московский,119645
Восточный,118030
Внуково,113399
Троицк,112212
Некрасовка,110878
Молжаниновский,110572
Бирюлёво Западное,109421
Зеленоград АО,109320
Первомайское,107693
Сосенское,107289
Щербинка,98523
Кокошкино,98403
Краснопахорское,98302
Десеновское,97858
Мосрентген,97652
Рязановское,95333
Роговское,90874
Вороновское,86320
Воскресенское,82477
Филимонковское,82364
Киевский,82311
Марушкинское,79998
Михайлово-Ярцевское,79454
Щаповское,75321
Новофедоровское,70874
Кленовское,68768
Среднее,203654
